"date","week","ccLabel","day_count","lTemp","sdPos","tank","trt","water","ind","log.sdPos","log.lTemp","day_number","log.day_number"
"11/18/2019","week4","tank3_heating_no_Red","D19",33.7571738433333,2,"tank3","heating","no","Red",0.693147180559945,3.51919295305221,19,2.94443897916644
"11/18/2019","week4","tank2_control_yes_Red","D19",20.0662996033333,1.14017542509914,"tank2","control","yes","Red",0.131182132233746,2.99904177128667,19,2.94443897916644
"11/18/2019","week4","tank1_control_yes_Red","D19",19.5212564733333,2.07364413533277,"tank1","control","yes","Red",0.729307511349758,2.97150394742431,19,2.94443897916644
"11/19/2019","week4","tank4_heating_yes_Red","D20",27.50018879,3.64691650576209,"tank4","heating","yes","Red",1.29388201761385,3.31419286973987,20,2.99573227355399
"11/19/2019","week4","tank3_heating_no_Red","D20",34.34311034,1.92353840616713,"tank3","heating","no","Red",0.65416640982509,3.53640142620751,20,2.99573227355399
"11/19/2019","week4","tank2_control_yes_Red","D20",20.2023734166667,1.22474487139159,"tank2","control","yes","Red",0.202732554054082,3.00580009337965,20,2.99573227355399
"11/19/2019","week4","tank1_control_yes_Red","D20",19.7007633433333,1.8165902124585,"tank1","control","yes","Red",0.596961234236217,2.9806573833858,20,2.99573227355399
"11/15/2019","week4","tank4_heating_no_Yellow","D16",31.93831769,1.30384048104053,"tank4","heating","no","Yellow",0.265314125531085,3.46380647045418,16,2.77258872223978
"11/15/2019","week4","tank3_heating_yes_Yellow","D16",28.0551351533333,2.16794833886788,"tank3","heating","yes","Yellow",0.773781254358006,3.33417168663326,16,2.77258872223978
"11/15/2019","week4","tank3_heating_no_Yellow","D16",31.09324398,1.09544511501033,"tank3","heating","no","Yellow",0.0911607783969774,3.43699056021639,16,2.77258872223978
"11/16/2019","week4","tank3_heating_yes_Yellow","D17",28.9148697133333,2.50998007960223,"tank3","heating","yes","Yellow",0.920274816698744,3.36435598574955,17,2.83321334405622
"11/16/2019","week4","tank3_heating_no_Yellow","D17",33.7571738433333,1.14017542509914,"tank3","heating","no","Yellow",0.131182132233746,3.51919295305221,17,2.83321334405622
"11/17/2019","week4","tank3_heating_yes_Yellow","D18",28.9148697133333,2.68328157299975,"tank3","heating","yes","Yellow",0.987040513011005,3.36435598574955,18,2.89037175789616
"11/17/2019","week4","tank3_heating_no_Yellow","D18",33.7571738433333,1.67332005306815,"tank3","heating","no","Yellow",0.514809708590579,3.51919295305221,18,2.89037175789616
"11/18/2019","week4","tank4_heating_no_Yellow","D19",34.5851662366667,2.23606797749979,"tank4","heating","no","Yellow",0.80471895621705,3.54342486865273,19,2.94443897916644
"11/18/2019","week4","tank3_heating_no_Yellow","D19",33.7571738433333,1.30384048104053,"tank3","heating","no","Yellow",0.265314125531085,3.51919295305221,19,2.94443897916644
"11/19/2019","week4","tank4_heating_yes_Yellow","D20",27.50018879,1.09544511501033,"tank4","heating","yes","Yellow",0.0911607783969774,3.31419286973987,20,2.99573227355399
"11/19/2019","week4","tank4_heating_no_Yellow","D20",34.6203722033333,4.33589667773576,"tank4","heating","no","Yellow",1.46692843491795,3.54444230079753,20,2.99573227355399
"11/19/2019","week4","tank3_heating_no_Yellow","D20",34.34311034,2.60768096208106,"tank3","heating","no","Yellow",0.95846130609103,3.53640142620751,20,2.99573227355399
"11/15/2019","week4","tank3_heating_no_Black","D16",31.09324398,3.57770876399966,"tank3","heating","no","Black",1.27472258546279,3.43699056021639,16,2.77258872223978
"11/15/2019","week4","tank2_control_yes_Black","D16",19.20125893,1.09544511501033,"tank2","control","yes","Black",0.0911607783969772,2.954975846155,16,2.77258872223978
"11/16/2019","week4","tank4_heating_no_Black","D17",34.5851662366667,9.39148550549912,"tank4","heating","no","Black",2.23980348150637,3.54342486865273,17,2.83321334405622
"11/16/2019","week4","tank3_heating_no_Black","D17",33.7571738433333,5.76194411635517,"tank3","heating","no","Black",1.75127493796122,3.51919295305221,17,2.83321334405622
"11/16/2019","week4","tank2_control_no_Black","D17",20.8230857233333,1.92353840616713,"tank2","control","no","Black",0.65416640982509,3.036062261779,17,2.83321334405622
"11/16/2019","week4","tank1_control_yes_Black","D17",19.5212564733333,1.30384048104053,"tank1","control","yes","Black",0.265314125531085,2.97150394742431,17,2.83321334405622
